Ocean_Name,Date_Year,avg_bleaching_pct,num_observations,avg_temperature,avg_ssta,avg_tsa,max_bleaching_pct
Arabian Gulf,1996,78.53846153846153,13,299.7438461538461,0.3823076923076923,-0.7576923076923078,100.0
Arabian Gulf,1998,54.611111111111114,9,299.62,3.1611111111111114,2.878888888888889,75.0
Arabian Gulf,2000,60.166666666666664,3,298.68666666666667,0.01666666666666668,-0.7433333333333333,75.0
Arabian Gulf,2002,75.0,1,300.93,1.22,1.23,75.0
Arabian Gulf,2003,0.9375,8,300.46000000000004,-0.20500000000000002,-2.11,2.25
Arabian Gulf,2004,1.8333333333333333,6,300.6033333333333,-0.7833333333333333,-1.4266666666666667,2.5
Arabian Gulf,2006,0.375,4,297.85,0.78,0.59,0.5
Arabian Gulf,2007,33.412,5,300.75600000000003,0.18000000000000002,-3.492,75.0
Arabian Gulf,2009,1.3502777777777777,72,300.32444444444445,1.2165277777777779,-1.6801388888888895,70.0
Arabian Gulf,2010,2.032,70,300.4977142857142,0.9097142857142857,-1.9145714285714284,36.25
Arabian Gulf,2011,5.9375,24,300.305,1.0416666666666663,-1.3595833333333331,80.0
Arabian Gulf,2012,0.20833333333333334,24,300.2116666666666,0.9558333333333332,-2.129166666666666,2.25
Arabian Gulf,2013,0.5789473684210527,38,300.2594736842105,0.3152631578947368,-2.0205263157894735,7.5
Arabian Gulf,2014,0.0,14,300.5071428571428,0.12999999999999998,-2.9357142857142855,0.0
Arabian Gulf,2015,0.0625,24,300.22499999999997,0.49999999999999994,-2.801666666666666,0.25
Arabian Gulf,2016,0.47058823529411764,34,300.27235294117645,0.897058823529412,-2.953529411764704,7.5
Arabian Gulf,2017,1.09375,16,300.755,0.33375,-10.1425,4.75
Arabian Gulf,2019,16.25,4,300.82,1.475,-0.695,32.5
Atlantic,1983,87.0,2,300.47,0.95,0.10999999999999999,99.0
Atlantic,1987,18.99411764705882,17,300.19437500000004,-0.130625,-0.48812500000000003,75.0
Atlantic,1988,49.583333333333336,6,298.60499999999996,-0.17499999999999996,-1.9149999999999998,75.0
Atlantic,1990,5.5,1,299.82,-1.54,-1.56,5.5
Atlantic,1991,7.75,2,299.825,1.27,-1.3849999999999998,10.0
Atlantic,1992,11.0,5,299.934,-0.20999999999999996,-2.48,30.5
Atlantic,1993,11.0,5,299.956,-0.344,-2.37,33.0
Atlantic,1994,23.5,4,299.66249999999997,0.029999999999999985,-2.9375,75.0
Atlantic,1995,31.666666666666668,3,299.82666666666665,-0.4166666666666667,-2.6266666666666665,34.0
Atlantic,1997,57.2,5,299.75199999999995,0.754,0.606,75.0
Atlantic,1998,31.51807228915663,166,300.21626506024086,0.6163253012048198,0.12560240963855426,80.49
Atlantic,1999,8.329986282578874,729,300.5002469135806,-0.1203703703703704,-0.827805212620027,75.0
Atlantic,2000,1.9567047619047624,525,300.9987809523809,-0.25344761904761964,-0.7927809523809521,30.5
Atlantic,2001,0.8128593272171253,654,300.99045941806946,0.018545176110260343,-2.1049923430321518,75.0
Atlantic,2002,2.9170076726342704,391,300.8024552429669,-0.3701790281329922,-1.7135294117647077,50.0
Atlantic,2003,2.557450980392157,714,300.3380504908835,0.3799158485273494,-0.6221739130434786,75.0
Atlantic,2004,6.844227642276423,492,300.5054268292681,0.22890243902439025,-0.8182317073170728,85.71
Atlantic,2005,34.63188431511712,2818,300.566659566917,0.38619808306709036,-0.4114412495562654,100.0
Atlantic,2006,18.94637614678898,1526,300.5240104849281,0.19524246395806022,-1.5512844036697258,100.0
Atlantic,2007,7.471712000000003,625,300.40830399999976,0.265744,-0.8720159999999995,90.0
Atlantic,2008,4.64141955835962,634,300.27817034700297,0.08335962145110412,-1.033059936908518,75.0
Atlantic,2009,8.801771159874606,638,300.29283699059545,0.38083072100313486,-0.5835736677115996,100.0
Atlantic,2010,7.98693446088795,473,300.0164270613108,0.5105285412262157,-1.0084566596194506,90.0
Atlantic,2011,9.15906488549619,524,300.27070610686997,0.5342366412213742,-0.4744274809160304,82.5
Atlantic,2012,3.8574215246636756,446,300.0830493273542,0.11082959641255602,-1.150672645739911,46.97
Atlantic,2013,3.674175084175084,297,300.247152542373,0.2084406779661017,-1.2027118644067796,33.75
Atlantic,2014,21.44831978319783,369,300.2154200542004,0.45219512195121986,-0.40376693766937677,94.0
Atlantic,2015,19.140782608695645,460,300.09936956521744,0.5704782608695653,-0.8010217391304348,100.0
